Namespace(alpha=0.9, batch_size=4, decay=1e-05, epoch=100, gpus='0,1', lr=0.256, model='efficientnet-b6', momentum=0.9, num_workers=2, optim='rmsprop', root='/home/zjw/data/data/x-ray/vinbigdata_1024/cls_data', save_dir='/home/zjw/EfficientNets-PyTorch/output/1614948390/1614948390.log', scheduler='step', step=30, test=False)

train[0/3376] epoch= 0 lr=0.00400  loss=0.68923  acc=75.00000{75.00000}
train[50/3376] epoch= 0 lr=0.00400  loss=0.30710  acc=75.00000{54.90196}
train[100/3376] epoch= 0 lr=0.00400  loss=0.08370  acc=100.00000{54.20792}
train[150/3376] epoch= 0 lr=0.00400  loss=2.61483  acc=75.00000{58.44371}
train[200/3376] epoch= 0 lr=0.00400  loss=3.24113  acc=50.00000{58.20895}
train[250/3376] epoch= 0 lr=0.00400  loss=2.30909  acc=75.00000{57.37052}
train[300/3376] epoch= 0 lr=0.00400  loss=10.31200  acc=25.00000{56.97674}
train[350/3376] epoch= 0 lr=0.00400  loss=3.05171  acc=25.00000{57.83476}
train[400/3376] epoch= 0 lr=0.00400  loss=0.00685  acc=100.00000{57.16958}
train[450/3376] epoch= 0 lr=0.00400  loss=8.56098  acc=50.00000{57.59423}
train[500/3376] epoch= 0 lr=0.00400  loss=4.33104  acc=25.00000{57.08583}
train[550/3376] epoch= 0 lr=0.00400  loss=1.00801  acc=75.00000{57.48639}
train[600/3376] epoch= 0 lr=0.00400  loss=2.40653  acc=75.00000{57.57071}
train[650/3376] epoch= 0 lr=0.00400  loss=0.27213  acc=75.00000{57.71889}
train[700/3376] epoch= 0 lr=0.00400  loss=0.94896  acc=50.00000{57.81027}
train[750/3376] epoch= 0 lr=0.00400  loss=8.88330  acc=25.00000{58.12250}
train[800/3376] epoch= 0 lr=0.00400  loss=0.04813  acc=100.00000{58.05243}
train[850/3376] epoch= 0 lr=0.00400  loss=9.73441  acc=25.00000{58.13749}
train[900/3376] epoch= 0 lr=0.00400  loss=3.53286  acc=75.00000{58.29634}
train[950/3376] epoch= 0 lr=0.00400  loss=0.00000  acc=100.00000{58.09674}
train[1000/3376] epoch= 0 lr=0.00400  loss=0.00000  acc=100.00000{58.31668}
train[1050/3376] epoch= 0 lr=0.00400  loss=5.47695  acc=50.00000{58.13511}
train[1100/3376] epoch= 0 lr=0.00400  loss=3.47196  acc=25.00000{58.19709}
train[1150/3376] epoch= 0 lr=0.00400  loss=4.66422  acc=50.00000{58.27541}
train[1200/3376] epoch= 0 lr=0.00400  loss=0.00000  acc=100.00000{58.30558}
train[1250/3376] epoch= 0 lr=0.00400  loss=4.72326  acc=75.00000{58.51319}
train[1300/3376] epoch= 0 lr=0.00400  loss=6.72026  acc=75.00000{58.57033}
train[1350/3376] epoch= 0 lr=0.00400  loss=20.72755  acc=0.00000{58.49371}
train[1400/3376] epoch= 0 lr=0.00400  loss=11.31107  acc=50.00000{58.27980}
train[1450/3376] epoch= 0 lr=0.00400  loss=1.84918  acc=75.00000{58.18401}
train[1500/3376] epoch= 0 lr=0.00400  loss=17.65361  acc=25.00000{58.12791}
train[1550/3376] epoch= 0 lr=0.00400  loss=2.04857  acc=75.00000{58.18826}
train[1600/3376] epoch= 0 lr=0.00400  loss=0.68043  acc=75.00000{58.08870}
train[1650/3376] epoch= 0 lr=0.00400  loss=6.38336  acc=50.00000{58.05572}
train[1700/3376] epoch= 0 lr=0.00400  loss=2.18366  acc=50.00000{58.12757}
train[1750/3376] epoch= 0 lr=0.00400  loss=11.05095  acc=75.00000{58.26671}
train[1800/3376] epoch= 0 lr=0.00400  loss=5.66226  acc=50.00000{58.25930}
train[1850/3376] epoch= 0 lr=0.00400  loss=19.57590  acc=25.00000{58.17126}
train[1900/3376] epoch= 0 lr=0.00400  loss=2.37903  acc=75.00000{58.33772}
train[1950/3376] epoch= 0 lr=0.00400  loss=4.95252  acc=75.00000{58.29062}
train[2000/3376] epoch= 0 lr=0.00400  loss=9.14167  acc=0.00000{58.18341}
